shipment_id,source,destination,transit_hours,avg_temp_celsius
SHP-1000,Central_Hub_B,Central_Hub_A,15.0,5.5
SHP-1001,Regional_Warehouse_E,Regional_Warehouse_D,11.2,6.54
SHP-1002,Regional_Warehouse_D,Regional_Warehouse_C,15.9,4.72
SHP-1003,Central_Hub_B,Hospital_Pharma_I,21.1,13.82
SHP-1004,Central_Hub_B,Retail_Store_G,10.6,3.13
SHP-1005,Central_Hub_A,Hospital_Pharma_J,10.6,6.52
SHP-1006,Central_Hub_B,Regional_Warehouse_D,21.5,15.08
SHP-1007,Regional_Warehouse_D,Hospital_Pharma_I,16.6,4.8
SHP-1008,Hospital_Pharma_J,Central_Hub_A,9.2,5.01
SHP-1009,Hospital_Pharma_I,Regional_Warehouse_D,15.3,15.59
SHP-1010,Hospital_Pharma_I,Retail_Store_G,9.2,4.42
SHP-1011,Regional_Warehouse_D,Retail_Store_H,9.2,3.33
SHP-1012,Hospital_Pharma_J,Regional_Warehouse_E,13.5,2.77
SHP-1013,Central_Hub_A,Regional_Warehouse_C,2.0,2.87
SHP-1014,Retail_Store_G,Retail_Store_F,2.0,0.82
SHP-1015,Regional_Warehouse_E,Regional_Warehouse_C,8.6,9.48
SHP-1016,Regional_Warehouse_D,Retail_Store_F,5.9,3.69
SHP-1017,Central_Hub_B,Hospital_Pharma_J,13.9,1.84
SHP-1018,Retail_Store_G,Central_Hub_B,6.6,3.2
SHP-1019,Retail_Store_F,Hospital_Pharma_J,3.5,7.87
SHP-1020,Hospital_Pharma_J,Regional_Warehouse_E,20.8,3.56
SHP-1021,Central_Hub_A,Retail_Store_H,10.6,1.67
SHP-1022,Hospital_Pharma_I,Central_Hub_B,12.4,2.48
SHP-1023,Retail_Store_G,Central_Hub_B,3.5,3.29
SHP-1024,Hospital_Pharma_I,Regional_Warehouse_E,8.7,3.03
SHP-1025,Hospital_Pharma_J,Retail_Store_F,12.7,7.61
SHP-1026,Hospital_Pharma_J,Regional_Warehouse_D,5.1,6.06
SHP-1027,Central_Hub_B,Central_Hub_A,14.3,17.83
SHP-1028,Regional_Warehouse_D,Regional_Warehouse_E,8.4,5.43
SHP-1029,Central_Hub_B,Regional_Warehouse_D,10.2,3.97
SHP-1030,Central_Hub_B,Retail_Store_G,8.4,3.62
